 ,Label,Area
1,dia,33279
2,dia,1431
3,dia,4378
4,dia,3039
5,dia,2122
6,dia,2890
7,dia,2007
8,dia,932
9,dia,5665
10,dia,22863
11,dia,4425
12,dia,11665
13,dia,15574
14,dia,1160
15,dia,1950
16,dia,1551
17,dia,5127
18,dia,1444
19,dia,1439
20,dia,3676
21,dia,872
22,dia,943
23,dia,2402
24,dia,2378
25,dia,2389
26,dia,598
27,dia,367
28,dia,1087
29,dia,3906
30,dia,1386
31,dia,2629
32,dia,4008
33,dia,1816
34,dia,7172
35,dia,3337
36,dia,1614
37,dia,802
38,dia,2124
39,cyano,574
40,cyano,1208
41,cyano,2624
42,ga-lgb,2274
43,amdet,2956
44,amdet,4392
45,vascular,1740
46,dia,3830
